External Library Name, Link to License, License Name, Binaries using the license, URL
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu-img ./qemu/linux-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, ./nimble_bridge glib2_linux-aarch64.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libEGL.so lib64/gles_swiftshader/libGLESv2.so lib64/gles_swiftshader/libGLES_CM.so ./emulator, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, ./nimble_bridge android-emu-metrics.so android-emu-curl.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator, https://vulkan.lunarg.com/sdk/home
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
protobuf, BSD-3-Clause, BSD-3-Clause, android-emu-metrics.so ./qemu/linux-aarch64/qemu-system-aarch64-headless emugl_common.so ./qsn gfxstream_backend.so android-emu-shared.so ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel android-emu-tracing.so ./emulator libprotobuf.so android-emu-protos.so ./emulator-check ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, 
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./nimble_bridge android-emu-metrics.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
flatbuffers, Apache-2.0, Apache-2.0, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://github.com/google/flatbuffers
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qsn ./nimble_bridge ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
libunwind, https://github.com/libunwind/libunwind/blob/master/COPYING, MIT, ./nimble_bridge android-emu-metrics.so android-emu-curl.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://github.com/libunwind/libunwind/releases/tag/v1.3.1
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./nimble_bridge android-emu-metrics.so android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
upb_textformat_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/plugins/imageformats/libqtga.so lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/plugins/platforms/libqxcb.so lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/lib/libfreetype.so.6 lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/lib/libQt5SvgAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqsvg.so lib64/qt/lib/libQt5GuiAndroidEmu.so.5 ./emulator lib64/qt/lib/libQt5DBusAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqico.so lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/plugins/bearer/libqgenericbearer.so lib64/qt/plugins/imageformats/libqgif.so lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqicns.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./nimble_bridge android-emu-metrics.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./nimble_bridge android-emu-metrics.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, lib64/libtcmalloc_minimal.so.4 ./emulator, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/e2fsck bin64/mkfs.ext4 bin64/tune2fs bin64/fsck.ext4 ./emulator bin64/resize2fs, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
upb_json_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./crashreport, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
uuid, https://spdx.org/licenses/BSD-3-Clause.html, BSD-3-Clause, ./nimble_bridge android-emu-metrics.so android-emu-curl.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libuuid1-2.25.2-2.tar.xz
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, gfxstream_backend.so, https://chromium.googlesource.com/angle/angle
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, ./nimble_bridge android-emu-metrics.so android-emu-curl.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./nimble_bridge android-emu-metrics.so android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
libstdc++, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/LICENSE.TXT, LLVM-exception, ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel lib64/libstdc++.so.6 ./emulator ./emulator-check ./qsn ./mksdcard ./qemu/linux-aarch64/qemu-system-armel-headless lib64/libstdc++.so.6.0.28 ./crashreport, https://packages.debian.org/sid/crossbuild-essential-arm64
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qsn gfxstream_backend.so emugl_common.so android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img, https://chromium.googlesource.com/webm/libvpx/
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./nimble_bridge android-emu-metrics.so android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator emugl_common.so ./qsn gfxstream_backend.so ./emulator-check android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./crashreport, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
